title,employer,min_salary,max_salary,source,link
Data engineer,ОАО БПС-Сбербанк,-,-,https://hh.ru,https://hh.ru/vacancy/43958076
Data Engineer (Food Delivery sphere),ISsoft Solutions,-,-,https://hh.ru,https://hh.ru/vacancy/43947944
Разработка витрин в Облаке Данных(Data Engineer),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43542693
DevOps Engineer (Python),Qulix Systems,-,-,https://hh.ru,https://hh.ru/vacancy/43984097
DevOps Engineer (Infrastructure),Oxagile,-,-,https://hh.ru,https://hh.ru/vacancy/41779264
Аналитик данных (data analyst),ООО Финансово-правовой альянс,100 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/41827452
Senior BI Engineer,Oxagile,-,-,https://hh.ru,https://hh.ru/vacancy/43993010
Python developer/Data Engineer,Unikoom,3 000 USD,4 000 USD,https://hh.ru,https://hh.ru/vacancy/43905874
Python Developer,УП Руна Системс,-,-,https://hh.ru,https://hh.ru/vacancy/43943274
Middle QA manual Engineer (Product Company),Profitero,-,-,https://hh.ru,https://hh.ru/vacancy/43989900
Senior DevOps Engineer,ООО IHS Global,-,-,https://hh.ru,https://hh.ru/vacancy/44000529
Senior DevOps Engineer,ООО IHS Global,-,-,https://hh.ru,https://hh.ru/vacancy/44000530
BI Data Analyst,APALON,-,-,https://hh.ru,https://hh.ru/vacancy/43888427
Cyber Security Engineer,УП Руна Системс,-,-,https://hh.ru,https://hh.ru/vacancy/43923652
Middle QA Automation Engineer,HiQo Solutions,-,-,https://hh.ru,https://hh.ru/vacancy/43958310
DevOps Engineer,ARLOID AUTOMATION PTE. LTD,-,220 000 руб.,https://hh.ru,https://hh.ru/vacancy/43805503
DevOps Engineer ‎(new mobile product)‎,"Wargaming, Moscow",-,-,https://hh.ru,https://hh.ru/vacancy/42381088
Senior Test Automation Engineer (Bioinformatics),Дженстек,-,-,https://hh.ru,https://hh.ru/vacancy/43880187
L2-L3 Technical Support Engineer,ООО РЕСИЛИО БЛР,-,-,https://hh.ru,https://hh.ru/vacancy/37157598
Data Engineer,ООО Айти-Солюшнс,250 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/41469811
Junior Data Engineer,Платформа ОФД,100 000 руб.,150 000 руб.,https://hh.ru,https://hh.ru/vacancy/43907208
Data Scientist инженер (Middle/Senior),ООО Виго Лаб,150 000 руб.,300 000 руб.,https://hh.ru,https://hh.ru/vacancy/43852205
Data Scientist / Data Engineer,Баззула Интернет Технологии,150 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43357165
Middle/Senior Data Engineer,App in the Air,2 000 USD,-,https://hh.ru,https://hh.ru/vacancy/43841588
ML инженер/Data Scientist,Beltel,-,-,https://hh.ru,https://hh.ru/vacancy/43921120
Data processing engineer / Оператор по обработке данных,ООО ТДИ Энерджи Сервисес,40 000 руб.,50 000 руб.,https://hh.ru,https://hh.ru/vacancy/43997165
Data engineer (Big Data),Билайн,-,-,https://hh.ru,https://hh.ru/vacancy/42614429
Data Scientist / ML-engineer (NLP),ООО РЕ:ПОИНТ,-,-,https://hh.ru,https://hh.ru/vacancy/43981829
Data engineer,ДомКлик,-,-,https://hh.ru,https://hh.ru/vacancy/42840765
Junior Machine Learning Engineer,ООО ColoBridge GmbH,800 EUR,1 600 EUR,https://hh.ru,https://hh.ru/vacancy/43309409
Data Quality - стажер,"EPAM Systems, Inc.",-,-,https://hh.ru,https://hh.ru/vacancy/43982534
"Python Developer (USD Salary, Remote)",Gravitum,250 000 руб.,350 000 руб.,https://hh.ru,https://hh.ru/vacancy/43974138
Senior Data Engineer,ООО Globus.ai,1 500 USD,3 000 USD,https://hh.ru,https://hh.ru/vacancy/43835732
Data engineer / SQL-разработчик,Эквид,130 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/41126997
Data Engineer,Платформа ОФД,-,200 000 руб.,https://hh.ru,https://hh.ru/vacancy/43455160
Data engineer (Big Data),Билайн: ИТ и Digital,-,-,https://hh.ru,https://hh.ru/vacancy/41846697
Senior Software Developer - Search (to Canada),Behavox,10 000 USD,-,https://hh.ru,https://hh.ru/vacancy/42856893
Senior Data Engineer / Ведущий инженер данных,ООО UMA.Tech,-,350 000 руб.,https://hh.ru,https://hh.ru/vacancy/39796470
Data Engineer,Level.Travel,-,-,https://hh.ru,https://hh.ru/vacancy/43767065
Data engineer,RU-CENTER Group,-,-,https://hh.ru,https://hh.ru/vacancy/43286490
C++/Data Engineering developer,Auriga,-,-,https://hh.ru,https://hh.ru/vacancy/43971480
C++/Data Engineering developer,Auriga,-,-,https://hh.ru,https://hh.ru/vacancy/43971482
Lead Java engineer - Trade Finance & Lending Data,Deutsche Bank Technology Center,300 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43853133
Senior Software Developer - Search (to Canada),Behavox,10 000 USD,-,https://hh.ru,https://hh.ru/vacancy/42856894
Data engineer,Цитрус,-,-,https://hh.ru,https://hh.ru/vacancy/43650402
Data Engineer - Sales Home,Deutsche Bank Technology Center,220 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43140339
C++/Data Engineering developer,Auriga,-,-,https://hh.ru,https://hh.ru/vacancy/43968918
C++/Data Engineering developer,Auriga,-,-,https://hh.ru,https://hh.ru/vacancy/43968963
Data Engineer (Python),Detego,-,-,https://hh.ru,https://hh.ru/vacancy/43850455
C++/Data Engineering developer,Auriga,-,-,https://hh.ru,https://hh.ru/vacancy/43971478
Senior Data Science,Remedy Logic,200 000 руб.,400 000 руб.,https://hh.ru,https://hh.ru/vacancy/43931129
Junior Software Developer - Big Data,Inca Digital,-,-,https://hh.ru,https://hh.ru/vacancy/43900397
Senior Backend Engineer (Product analytics),JetBrains,250 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43962622
Senior Data Engineer (AWS/Python),ООО ОнТаргет ЛАБС,3 000 USD,6 000 USD,https://hh.ru,https://hh.ru/vacancy/43360839
Senior Backend Engineer (Product analytics),JetBrains,250 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43962641
Data Engineer,Playkot,-,-,https://hh.ru,https://hh.ru/vacancy/43034113
Data Engineer,CyberHULL (ООО Киберкор),-,-,https://hh.ru,https://hh.ru/vacancy/43775904
Data Engineer (Cloud),NIX,-,-,https://hh.ru,https://hh.ru/vacancy/43689012
Python разработчик/Data Engineer,ООО ВБЦ,-,-,https://hh.ru,https://hh.ru/vacancy/43604533
Senior/Lead Big Data Engineer,DemandMatrix,300 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43038508
Enterprise Data Network Engineer,"Кселл, АО",-,-,https://hh.ru,https://hh.ru/vacancy/43981386
Data Scientist,Plarium,-,-,https://hh.ru,https://hh.ru/vacancy/43229766
Senior Data Engineer,Tango Me,4 500 USD,-,https://hh.ru,https://hh.ru/vacancy/41852020
Data Engineer,SoftTeco,-,-,https://hh.ru,https://hh.ru/vacancy/43955219
Data analyst,"МХП, агроіндустріальний холдинг",-,-,https://hh.ru,https://hh.ru/vacancy/43566593
Data Engineer,Finstar Financial Group,-,-,https://hh.ru,https://hh.ru/vacancy/43760429
Senior Data Engineer (AWS/Python),ООО ОнТаргет ЛАБС,3 000 USD,6 000 USD,https://hh.ru,https://hh.ru/vacancy/43360838
Business Data Analyst,WorkFusion,-,-,https://hh.ru,https://hh.ru/vacancy/43951166
Data Engineer (Lead),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/44003959
Data Scientist,Метинвест Диджитал,-,-,https://hh.ru,https://hh.ru/vacancy/43924517
Principal Software Engineer,Fivetran,6 500 USD,-,https://hh.ru,https://hh.ru/vacancy/43349498
Старший инженер в области машинного обучения (Senior Data Scientist),ООО Компания Стрим Лабс,-,-,https://hh.ru,https://hh.ru/vacancy/43959754
Data engineer - Trade Finance,Deutsche Bank Technology Center,220 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/42208370
PHP Developer / Data engineer,Badoo,-,-,https://hh.ru,https://hh.ru/vacancy/42588160
Data Engineer (мониторинг моделей Big data),Банк ВТБ (ПАО),-,-,https://hh.ru,https://hh.ru/vacancy/40185369
Data Analyst,WOW TEL SAC,-,-,https://hh.ru,https://hh.ru/vacancy/43814309
Data Engineer,4people,-,-,https://hh.ru,https://hh.ru/vacancy/43571744
Data Engineer / Golang Developer,ООО ДДОС ГВАРД,-,-,https://hh.ru,https://hh.ru/vacancy/42833578
Data engineer (платформа больших данных),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43957573
Data Engineer (Python),Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43389494
Data Scientist,WorldQuant,-,-,https://hh.ru,https://hh.ru/vacancy/41182061
Senior Data engineer,ДТЭК,-,-,https://hh.ru,https://hh.ru/vacancy/43588411
Middle/Senior Data Analyst (Dispatch),Ситимобил,160 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43939640
BI Engineer (Tableau),inDriver,-,-,https://hh.ru,https://hh.ru/vacancy/38763777
"Java Intern Software Engineer, PowerStore, Virtualization","Dell Technologies, Центр Разработок",-,-,https://hh.ru,https://hh.ru/vacancy/41712910
Инженер по эксплуатации DEVOPS (Data),Билайн,-,-,https://hh.ru,https://hh.ru/vacancy/43992420
ETL разработчик /Data Engineer (Удаленно),"«РОСБАНК, Societe Generale Group», с опытом работы",-,-,https://hh.ru,https://hh.ru/vacancy/41434273
Инженер сопровождения (Support engineer),True Engineering,-,-,https://hh.ru,https://hh.ru/vacancy/41734774
Data Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43907730
Software Engineer (С++/C#),General Arcade,70 000 руб.,150 000 руб.,https://hh.ru,https://hh.ru/vacancy/43211708
Middle Data Engineer,QIWI,-,-,https://hh.ru,https://hh.ru/vacancy/43845602
Data Engineer,21vek.by,-,-,https://hh.ru,https://hh.ru/vacancy/43959818
Data Engineer (Sberbank Process Mining),Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/43881392
Data Engineer,Playkot,-,-,https://hh.ru,https://hh.ru/vacancy/43034067
DevOps Engineer 3 - Dev Infra (Canada),Behavox,8 000 USD,-,https://hh.ru,https://hh.ru/vacancy/42568106
Data Engineer,Space307,-,-,https://hh.ru,https://hh.ru/vacancy/43423465
"Data Engineer (GameDev, Remote)",Beresnev Games,-,-,https://hh.ru,https://hh.ru/vacancy/43842179
Data Integration Engineer,"Wargaming, Minsk (Game Stream)",-,-,https://hh.ru,https://hh.ru/vacancy/41505600
Data Integration Engineer,"Wargaming, Minsk (Game Stream)",-,-,https://hh.ru,https://hh.ru/vacancy/41505603
Data Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43907728
Senior Java Software Engineer  to Canada,Behavox,8 000 USD,-,https://hh.ru,https://hh.ru/vacancy/43405133
Data Engineer,Kolesa Group,600 000 KZT,-,https://hh.ru,https://hh.ru/vacancy/43913268
"Senior BigData Engineer, Financial Software Solutions",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43999987
DevOps Engineer платформы данных (Big Data),"FOZZY GROUP, Корпорация",-,-,https://hh.ru,https://hh.ru/vacancy/43526343
Data Engineer/Support Engineer,Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43337822
DevOps Engineer 3 - Dev Infra (to Canada),Behavox,8 000 USD,-,https://hh.ru,https://hh.ru/vacancy/42568105
Data Integration Engineer,"Wargaming, Minsk (Game Stream)",-,-,https://hh.ru,https://hh.ru/vacancy/41505602
Data Scientist (ЦК КХД),АО ДОМ.РФ,-,-,https://hh.ru,https://hh.ru/vacancy/43200169
Data Scientist (Amber Team),Semrush,180 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43923465
Data-инженер,Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/43000232
Data Engineer (Product Analytics Platform),JetBrains,250 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43924362
Data Engineer (Python Developer),Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43907236
Data Engineer (Product Analytics Platform),JetBrains,250 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43924451
Data Engineer,Метинвест Диджитал,-,-,https://hh.ru,https://hh.ru/vacancy/43924662
Big Data Engineer,ООО Accenture,-,-,https://hh.ru,https://hh.ru/vacancy/37702433
DevOps engineer (AWS),"Flow Health, Inc",3 500 USD,-,https://hh.ru,https://hh.ru/vacancy/43997870
Data Engineer (Middle),ООО РАБЛЗ,-,350 000 руб.,https://hh.ru,https://hh.ru/vacancy/42493119
DevOps инженер (Big Data),"ПАО «МТС», IT",-,-,https://hh.ru,https://hh.ru/vacancy/43128569
Senior Data Engineer / ETL Developer,GlowByte Consulting,-,-,https://hh.ru,https://hh.ru/vacancy/43994615
Senior DevOps Engineer - Automation (to Canada),Behavox,10 000 USD,-,https://hh.ru,https://hh.ru/vacancy/42678590
Senior Web Analyst / Data Analyst / Data Scientist,ООО Гуру сервис,100 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43461773
Business Intelligence Engineer,i4 Insight,-,-,https://hh.ru,https://hh.ru/vacancy/43877861
Data Management Engineer,ТОО Ренко-КАТ,500 000 KZT,-,https://hh.ru,https://hh.ru/vacancy/43580319
Data Integration Engineer,"Wargaming, Minsk (Game Stream)",-,-,https://hh.ru,https://hh.ru/vacancy/41557398
Руководитель группы Data инженеров (Chief Data Engineer),"Лента, федеральная розничная сеть, IT ",-,-,https://hh.ru,https://hh.ru/vacancy/43537937
Data Engineer,Газпромбанк,-,-,https://hh.ru,https://hh.ru/vacancy/39191138
Sr Manager Data Science,Align Technology,-,-,https://hh.ru,https://hh.ru/vacancy/42577986
Data Engineer,Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43926970
Data Engineer,RB,-,-,https://hh.ru,https://hh.ru/vacancy/42773461
